Unnamed: 0,Cash & Cash Equivalents,Total Assets,Total Liabilities,Shareholders' Equity,Total Long-Term Liabilities,Total Current Liabilities,Long-Term Debt,Current Debt,Accion
2023-03-31,1165.0,71600.0,42041.0,29559.0,34601.0,7440.0,20240.0,426.0,OXY
2022-12-31,984.0,72609.0,42524.0,30085.0,34767.0,7757.0,20327.0,438.0,OXY
2022-09-30,1233.0,72144.0,43424.0,28720.0,35489.0,7935.0,21094.0,794.0,OXY
2022-06-30,1362.0,74221.0,46391.0,27830.0,36661.0,9730.0,22332.0,637.0,OXY
2022-03-31,1909.0,74222.0,49315.0,24907.0,40615.0,8700.0,26423.0,680.0,OXY
2021-12-31,2764.0,75036.0,54709.0,20327.0,46385.0,8324.0,30016.0,372.0,OXY
2021-09-30,2279.0,75758.0,56885.0,18873.0,47759.0,9126.0,31508.0,1045.0,OXY
2021-06-30,4749.0,79937.0,61693.0,18244.0,52107.0,9586.0,35935.0,982.0,OXY
2021-03-31,2453.0,79355.0,61055.0,18300.0,52424.0,8631.0,36094.0,928.0,OXY
2020-12-31,2178.0,80064.0,61491.0,18573.0,53268.0,8223.0,36386.0,913.0,OXY
2020-09-30,1947.0,84434.0,64574.0,19860.0,54074.0,10500.0,36685.0,3017.0,OXY
2020-06-30,1135.0,89452.0,66106.0,23346.0,56187.0,9919.0,36774.0,2880.0,OXY
2020-03-31,2263.0,101643.0,70348.0,31295.0,58385.0,11963.0,36826.0,2917.0,OXY
2019-12-31,3517.0,107190.0,72958.0,34232.0,60253.0,12705.0,39409.0,630.0,OXY
2019-09-30,5294.0,125443.0,84438.0,36080.0,68741.0,15697.0,48259.0,494.0,OXY
2019-06-30,1751.0,44770.0,23423.0,21347.0,15543.0,7880.0,10600.0,368.0,OXY
2019-03-31,1752.0,44380.0,23144.0,21236.0,15607.0,7537.0,10668.0,356.0,OXY
2018-12-31,3033.0,43854.0,22524.0,21330.0,15112.0,7412.0,10201.0,116.0,OXY
2018-09-30,2954.0,44957.0,23464.0,21489.0,15092.0,8372.0,10198.0,116.0,OXY
2018-06-30,1362.0,44067.0,23136.0,20931.0,15058.0,8078.0,10312.0,0.0,OXY
2018-03-31,1606.0,42808.0,22086.0,20722.0,15016.0,7070.0,10309.0,0.0,OXY
2017-12-31,1672.0,42026.0,21454.0,20572.0,14054.0,7400.0,9328.0,500.0,OXY
2017-09-30,1806.0,41443.0,20774.0,20669.0,14412.0,6362.0,9326.0,500.0,OXY
2017-06-30,2218.0,41982.0,20945.0,21037.0,14554.0,6391.0,9324.0,500.0,OXY
2017-03-31,1494.0,42465.0,21386.0,21079.0,14534.0,6852.0,9322.0,500.0,OXY
2016-12-31,2233.0,43109.0,21612.0,21497.0,15250.0,6362.0,9819.0,0.0,OXY
2016-09-30,3180.0,41630.0,19334.0,22296.0,13646.0,5688.0,8333.0,0.0,OXY
2016-06-30,3751.0,42395.0,19294.0,23101.0,14027.0,5267.0,8331.0,0.0,OXY
2016-03-31,3176.0,42018.0,18229.0,23789.0,11403.0,6826.0,5608.0,2000.0,OXY
2015-12-31,4394.0,43409.0,19059.0,24350.0,12217.0,6842.0,6855.0,1450.0,OXY
2015-09-30,4312.0,50089.0,20207.0,29882.0,12774.0,7433.0,6882.0,1450.0,OXY
2015-06-30,5138.0,54369.0,21067.0,33302.0,13242.0,7825.0,6880.0,1450.0,OXY
2015-03-31,5418.0,53389.0,19225.0,34164.0,12310.0,6915.0,6139.0,700.0,OXY
2014-12-31,7808.0,56259.0,21300.0,34959.0,13056.0,8244.0,6838.0,0.0,OXY
2014-09-30,2897.0,71510.0,27425.0,43479.0,17904.0,9521.0,6837.0,1599.0,OXY
2014-06-30,2391.0,70293.0,26481.0,43289.0,17612.0,8869.0,6835.0,0.0,OXY
2014-03-31,2332.0,69275.0,25906.0,42998.0,17716.0,8190.0,6877.0,0.0,OXY
2013-12-31,3393.0,69443.0,26071.0,43126.0,17637.0,8434.0,6939.0,0.0,OXY
2013-09-30,3771.0,69437.0,26469.0,42790.0,17627.0,8842.0,6961.0,600.0,OXY
2013-06-30,3069.0,67422.0,25572.0,41753.0,17338.0,8234.0,7026.0,600.0,OXY
2013-03-31,2140.0,65824.0,24884.0,40882.0,17098.0,7786.0,7024.0,600.0,OXY
2012-12-31,1592.0,64210.0,24162.0,40016.0,16872.0,7290.0,7023.0,600.0,OXY
2012-09-30,3760.0,65625.0,25151.0,40474.0,17317.0,7834.0,7622.0,0.0,OXY
2012-06-30,4410.0,64283.0,24733.0,39550.0,16846.0,7887.0,7620.0,0.0,OXY
